Control ID,Control Family,Control Name,Baseline (SP 800-53B),Control Requirement Summary,Applicability,Applicability Rationale,Control Origination,System / Process,Control Owner,Business Requirements (REQ),Implementation Status (Owner-Stated),Implementation Status (Assessor-Validated),Status Changed by Assessor?,Implementation Description,Evidence Required,Evidence Available (EVID),Evidence Location,Highest Evidence Level,Testing Method,Test Procedure / Expected vs Actual,Assessment Result,Gap Identified,Risk Rating,Related Risk ID,Related Finding ID,Related POA&M ID,POA&M Status (as of status date),Observations,Last Reviewed,Next Review,CSF 2.0 Function (informal),Notes
AC-1,AC - Access Control,Policy and Procedures,Moderate,"Develop, document, and disseminate an access control policy and procedures; designate an official to manage them; review and update them at a defined frequency and after defined events.",Applicable,,Common (organization-wide),All in-scope systems,Alicia Moreno (CISO),REQ-001; REQ-014; REQ-024,Implemented,Implemented,No,"Access Control Policy ACP-002 v3.1 (approved 2025-01-15 by the CISO) covers account types, approvals, least privilege, separate admin accounts (§5.4), 24h de-provisioning (§5.3), inactivity (§5.6), and quarterly privileged recertification. It is published on the intranet and acknowledged at onboarding. JML procedure SOP-IAM-02 v2.0 implements it.","Current approved policy and procedures, approval record, review history, dissemination evidence",EVID-001; EVID-002,GRC-Vault:/WCP-2026/AC/EVID-001_ACP-002_v3.1.pdf; GRC-Vault:/WCP-2026/AC/EVID-002_SOP-IAM-02_v2.0.pdf,Design,"Examine, Interview","Examined ACP-002 v3.1 and SOP-IAM-02 v2.0 against the AC family requirements, and interviewed the CISO. Expected: policy reviewed within the 12-month cycle. Actual: the last approved review was 2025-01-15, so it is 5 months overdue. Draft v3.2 has been in review since 2026-05. Content is adequate, and policy statements are specific enough to test (they drove several findings).",Satisfied,Annual review overdue by about 5 months (below the finding threshold: the content is current and the draft is in approval).,Low,,,,n/a,OBS-01,2026-07-17,2027-07-15,PR,A policy existing does not prove the controls operate. AC-2/AC-6 test results show several ACP-002 requirements not operating.
AC-2,AC - Access Control,Account Management,Moderate,"Define allowed account types; assign account managers; require approvals for account creation; create, modify, disable, and remove accounts per defined conditions; monitor account use; notify account managers when accounts are no longer needed; review accounts for compliance at a defined frequency.",Applicable,,Hybrid (Okta common control + system-specific accounts),"SYS-01, SYS-02, SYS-03, SYS-04, SYS-05, SYS-06, SYS-07, SYS-08, SYS-09",Nadia Rahman (IAM Engineer),REQ-001; REQ-004; REQ-013; REQ-014; REQ-023,Implemented,Partially Implemented,Yes,"Okta is the identity source for SSO apps. Access requests go through Jira service desk tickets approved by the manager and the system owner. Termination tickets are raised manually by IT from HR emails. Local accounts exist outside Okta on AWS (legacy IAM users), wf-sftp-01, and the Quarrystone portal, and are managed ad hoc. There is a service-account register, but it lacked owner and rotation fields until 2026-07.",Account-management procedure; user and entitlement populations from each system; HR roster; service-account register; recertification records,EVID-002; EVID-005; EVID-006; EVID-007; EVID-013; EVID-061; EVID-065,GRC-Vault:/WCP-2026/AC/EVID-002_SOP-IAM-02_v2.0.pdf; access-review/source-exports/okta_users.csv; access-review/source-exports/entitlements.csv; evidence/IA/EVID-007_aws-iam-credential-report_2026-06-30.csv; access-review/source-exports/service_accounts.csv; evidence/AC/EVID-061_terminations-and-deactivations_2026-07-01_to_09-09.csv; GRC-Vault:/WCP-2026/IA/EVID-065_service-register-v2026-09.csv,Operating Effectiveness,"Examine, Interview, Test","Full reconciliation of 106 entitlements on 9 systems against HR, the role baseline, the SoD rules, and the service register (tools/review_engine.py). Expected: every account is authorized, owned, and current. Actual: 20 exceptions across 28 entitlement rows. They include terminated users (4), a duplicate identity, inactive access, contractor term drift, service accounts without owners or rotation, and a shared vendor login.",Other Than Satisfied,"Account lifecycle is not enforced for local (non-SSO) accounts, contractors, transfers, or service accounts. Account reviews did not catch these.",High,RISK-002; RISK-004; RISK-017,FIND-001; FIND-004; FIND-005; FIND-006,POAM-001; POAM-004; POAM-005; POAM-006,POAM-001: Closed; POAM-004: In Progress; POAM-005: Closed; POAM-006: Closed,,2026-07-17,2026-12-15,PR,Anchor control for the access review. Individual exceptions roll up into 4 findings by root cause.
AC-2(1),AC - Access Control,Automated System Account Management,Moderate,Support management of system accounts with automated mechanisms.,Applicable,,Common (Okta),"SYS-02, SYS-06",Nadia Rahman (IAM Engineer),REQ-004; REQ-013,Implemented,Partially Implemented,Yes,"Okta provisions users to GitHub and AWS IAM Identity Center with SCIM and group push. The PeopleHub-to-Okta integration syncs attributes only. Terminations and contract end dates did not trigger de-provisioning before 2026-08, and contractor accounts had no expiry dates.",Integration configuration; provisioning and de-provisioning logs; evidence that HR events trigger account actions,EVID-004; EVID-005; EVID-062,evidence/AC/EVID-004_okta-deactivation-events-2026H1.csv; access-review/source-exports/okta_users.csv; evidence/AC/EVID-062_hr-okta-reconciliation-job_2026-09-10.csv,Implementation,"Examine, Interview","Examined the Okta-PeopleHub integration settings and interviewed the IAM Engineer. Expected: HR termination events automatically trigger de-provisioning. Actual: sync was attribute-only, so de-provisioning was a manual ticket. This design gap is the root cause of FIND-001. Post-remediation: a daily reconciliation job with auto-ticketing (live 2026-08-03) and Okta account-expiry dates for contractors were verified in EVID-062.",Other Than Satisfied,No automated de-provisioning from the authoritative HR source (fixed with compensating automation; full lifecycle-management licensing is planned for FY27).,High,RISK-002,FIND-001,POAM-001,POAM-001: Closed,,2026-07-17,2027-07-15,PR,"The reconciliation job is a detective and ticketing automation, not true HR-driven de-provisioning. The status stays Partially Implemented until lifecycle automation is licensed."
AC-2(3),AC - Access Control,Disable Accounts,Moderate,"Disable accounts within a defined period when they have expired, are no longer associated with a user or function, violate policy, or have been inactive for a defined period.",Applicable,,Hybrid,"SYS-01, SYS-02, SYS-03, SYS-07, SYS-09",Nadia Rahman (IAM Engineer),REQ-004; REQ-013,Implemented,Partially Implemented,Yes,"ACP-002 §5.3 requires disabling within 24 hours of termination, and §5.6 requires disabling after 90 days of inactivity. IT deactivates Okta accounts from manual tickets. There was no inactivity automation and no process for local accounts.",Complete population of terminations in the period; de-provisioning logs for every system; inactivity report,EVID-003; EVID-004; EVID-007; EVID-061; EVID-062; EVID-064,evidence/AC/EVID-003_peoplehub-terminations-2026H1.csv; evidence/AC/EVID-004_okta-deactivation-events-2026H1.csv; evidence/IA/EVID-007_aws-iam-credential-report_2026-06-30.csv; evidence/AC/EVID-061_terminations-and-deactivations_2026-07-01_to_09-09.csv; evidence/AC/EVID-062_hr-okta-reconciliation-job_2026-09-10.csv; evidence/IA/EVID-064_aws-iam-credential-report_2026-09-04.csv,Operating Effectiveness,"Examine, Test","Re-performed the 24h test on all 19 H1 terminations (docs/assessment/test-results/termination-deprovisioning.md). Expected: 19 of 19 within 24h, including non-SSO accounts. Actual: 16 of 19 within SLA, 1 late (209h), 2 never deactivated (one with a post-termination sign-in, which became INC-2026-0117), plus 1 active local AWS IAM user and 1 Quarrystone portal account belonging to leavers. Validation re-test (2026-09-10): 7 of 7 within SLA, and the reconciliation job reported 0 exceptions.",Other Than Satisfied,De-provisioning depended on manual tickets and missed local accounts.,High,RISK-002,FIND-001,POAM-001,POAM-001: Closed,,2026-09-10,2027-07-15,PR,Remediation validated 2026-09-10. Full re-test at the FY27 assessment because the post-fix operating sample is small (7).
AC-5,AC - Access Control,Separation of Duties,Moderate,"Identify and document duties that require separation, and define system access authorizations that support that separation.",Applicable,,System-specific (Ledgerline),SYS-07,Laura Brenneman (Controller),REQ-023; REQ-024,Implemented,Partially Implemented,Yes,"Ledgerline has an SoD ruleset (SOD-01 vendor master vs payment approval; SOD-02 AP entry vs approval). After the AP Specialist left in 2026-05, the Senior Accountant held both Vendor Master Maintain and Payment Approver (<= $25k). The compensating control is a monthly vendor-master change report that the Controller reviews and signs.",SoD matrix; role assignments; evidence of the compensating review for each month,EVID-014; EVID-015; EVID-060,access-review/source-exports/sod_rules.csv; GRC-Vault:/WCP-2026/AC/EVID-015_vendor-master-reviews-H1.pdf; risk/risk-acceptance/RACC-001.md,Operating Effectiveness,"Examine, Interview, Test","Tested role assignments against the SoD rules (review engine) and inspected 6 of 6 monthly compensating reviews (Jan–Jun). Expected: no user holds conflicting roles, or a documented and operating compensating control exists. Actual: 1 conflict (jmercer, SOD-01). The compensating review operated 6 of 6 months (signed, dated, 2 bank-detail changes independently verified by callback). The conflict was not formally risk-accepted until RACC-001 (2026-08-12).",Other Than Satisfied,"Conflicting duties held by one user. The compensating control operates, but it was undocumented as a risk decision.",Moderate,RISK-013,FIND-007,POAM-007,POAM-007: Risk Accepted,,2026-07-17,2027-03-31,PR,"Formally accepted (RACC-001, CFO, expires 2027-03-31). This is the project's worked example of a compensating control plus risk acceptance."
AC-6,AC - Access Control,Least Privilege,Moderate,"Employ the principle of least privilege, allowing only authorized accesses necessary to accomplish assigned tasks.",Applicable,,Hybrid,"SYS-01, SYS-02, SYS-03, SYS-04","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-001; REQ-014; REQ-023,Implemented,Partially Implemented,Yes,A role-based access baseline exists (role_access_matrix). AWS permission sets are assigned through Okta groups. Temporary grants (for migrations and troubleshooting) have no expiry mechanism.,Role baseline; entitlement exports; justification for privileged grants,EVID-006; EVID-016; EVID-017; EVID-075; EVID-076,access-review/source-exports/entitlements.csv; access-review/source-exports/entitlements.csv; access-review/source-exports/entitlements.csv; GRC-Vault:/WCP-2026/AC/EVID-075_idc-assignments-2026-09-03.csv; GRC-Vault:/WCP-2026/AC/EVID-076_github-owners-2026-08-12.csv,Operating Effectiveness,"Examine, Test","Compared every privileged and PHI entitlement to the role baseline. Expected: 0 grants outside the baseline without approved justification. Actual: 8 rows outside the baseline (F-BASELINE), all confirmed on review. 6 are excessive privileged grants (2 prod AdministratorAccess, 2 GitHub owners, 1 Okta Super Admin, 1 PHI database write) under FIND-003. The other 2 are PHI read access kept after a transfer (FIND-004) and PHI access outside a contractor's SOW (FIND-006).",Other Than Satisfied,Temporary privileged grants never expire; access is not re-baselined when roles change.,High,RISK-001; RISK-004,FIND-003,POAM-003,POAM-003: In Progress,,2026-07-17,2026-11-05,PR,
AC-6(2),AC - Access Control,Non-privileged Access for Nonsecurity Functions,Moderate,Require users of privileged accounts or roles to use non-privileged accounts or roles when accessing nonsecurity functions.,Applicable,,Hybrid,"SYS-01, SYS-02",Nadia Rahman (IAM Engineer),REQ-003; REQ-014,Implemented,Partially Implemented,Yes,"ACP-002 §5.4 (since 2025-07) requires separate -adm accounts for AWS prod AdministratorAccess and Okta Super Administrator. Two admins (jkim-adm, nrahman-adm) follow it. Others still hold admin roles on email and browsing accounts.",List of privileged role holders with account type,EVID-005; EVID-016; EVID-075,access-review/source-exports/okta_users.csv; access-review/source-exports/entitlements.csv; GRC-Vault:/WCP-2026/AC/EVID-075_idc-assignments-2026-09-03.csv,Implementation,"Examine, Test","Tested account type for every holder of the two covered roles. Expected: all on -adm or break-glass accounts. Actual: 6 of 10 covered assignments were not on -adm or break-glass accounts (F-DAILYADMIN): 2 legitimate SRE holders (AR-EX-10), and 4 assignments that were also excessive or orphaned (AR-EX-03/05/06/09).",Other Than Satisfied,Separate admin accounts are required by policy but not implemented for most admins.,High,RISK-001,FIND-003,POAM-003,POAM-003: In Progress,,2026-07-17,2026-11-05,PR,
AC-6(5),AC - Access Control,Privileged Accounts,Moderate,Restrict privileged accounts on the system to defined personnel or roles.,Applicable,,Hybrid,"SYS-01, SYS-02, SYS-03","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-003; REQ-014; REQ-023,Implemented,Partially Implemented,Yes,"Defined privileged roles are SRE (AWS admin), IAM Engineer (Okta Super Admin), and CTO plus platform (up to 3 GitHub owners). Break-glass accounts are vaulted and tested quarterly.",Privileged role definitions; complete privileged-account population per system,EVID-016; EVID-017; EVID-075; EVID-076; EVID-077,access-review/source-exports/entitlements.csv; access-review/source-exports/entitlements.csv; GRC-Vault:/WCP-2026/AC/EVID-075_idc-assignments-2026-09-03.csv; GRC-Vault:/WCP-2026/AC/EVID-076_github-owners-2026-08-12.csv; GRC-Vault:/WCP-2026/AC/EVID-077_okta-admin-roles-2026-07-21.csv,Operating Effectiveness,"Examine, Test",Enumerated all 37 privileged entitlements. Expected: every holder is in a defined privileged role. Actual: AWS prod AdministratorAccess had 6 human-linked holders (including a terminated employee's local IAM user) against 3 authorized SRE roles. GitHub owners were 5 against a maximum of 3. Okta Super Admin had 1 unauthorized holder. Break-glass accounts were well controlled (last tests 2026-04-15 and 2026-05-12).,Other Than Satisfied,More privileged holders than the defined roles allow.,High,RISK-001,FIND-003,POAM-003,POAM-003: In Progress,,2026-07-17,2026-11-05,PR,
AC-6(7),AC - Access Control,Review of User Privileges,Moderate,"Review the privileges assigned to defined roles or classes of users at a defined frequency to validate the need for them, and reassign or remove privileges as necessary.",Applicable,,Hybrid,"SYS-01, SYS-02, SYS-03, SYS-04",Alicia Moreno (CISO),REQ-004; REQ-014; REQ-023,Implemented,Partially Implemented,Yes,"Quarterly Okta manager certification campaigns cover app-assignment level access only. AWS permission sets, GitHub roles, database roles, and local accounts were never in scope. Before this assessment, no privileged-access review existed.","Review campaign exports showing population, reviewer, decision, date, and resulting changes",EVID-008; EVID-009; EVID-074,evidence/AC/EVID-008_q1-certification-summary.md; evidence/AC/EVID-009_insufficient-screenshot-example.md; GRC-Vault:/WCP-2026/AC/EVID-074_pending,Operating Effectiveness,"Examine, Interview, Test","Examined the Q1 2026 campaign export (412 decisions by 23 reviewers). Expected: complete population, meaningful decisions, and removals actioned. Actual: 100% approved, and 17 of 23 reviewers finished in under 5 minutes. The campaign approved rgupta2 (duplicate) and cfernandes's pre-transfer access. Privileged systems were out of scope. The dashboard screenshot first provided (EVID-009) was insufficient: no population, no decisions.",Other Than Satisfied,Recertification is incomplete in scope and ineffective in operation (rubber-stamping).,Moderate,RISK-004,FIND-004,POAM-004,POAM-004: In Progress,,2026-07-17,2026-10-31,PR,"This assessment's access review (106 rows, 9 systems) is the first complete privileged review. The Q3 campaign (EVID-074) is the first under the new design."
AC-17,AC - Access Control,Remote Access,Moderate,"Establish usage restrictions, configuration requirements, and implementation guidance for each type of remote access, and authorize each type before allowing connections.",Applicable,,Hybrid,"SYS-01, SYS-10","Tomasz Wierzbicki (Director, Platform Engineering)",REQ-003,Implemented,Implemented,No,"There is no network VPN into production. Administrative access uses AWS SSM Session Manager (sessions logged to log-archive) through IAM Identity Center, gated by Okta SSO+MFA from MDM-managed devices. No public bastions. wf-sftp-01 is administered through SSM only (except the RDP rule, reported under SC-7).",Remote-access standard; SSM configuration; session logging; network exposure review,EVID-018; EVID-028,GRC-Vault:/WCP-2026/AC/EVID-018_ssm-session-prefs.json; GRC-Vault:/WCP-2026/CM/EVID-028_securityhub.csv,Implementation,"Examine, Test","Examined the SSM session preferences (logging to S3 and CloudWatch enabled, KMS-encrypted) and confirmed no security groups allow SSH from the internet except the documented SFTP allowlist. Expected: remote administration only through authenticated, logged channels. Actual: met. The RDP exposure on wf-sftp-01 is an unauthorized deviation, reported under SC-7 and CM-6, not a remote-access design flaw.",Satisfied,,,,,,n/a,,2026-07-17,2027-07-15,PR,
