account,system,purpose,owner_employee_id,account_type,credential_type,credential_last_rotated,interactive_login
svc-vulnscan,Okta,Authenticated vulnerability scanning (legacy: configured as a person-type user),E1003,Service,Password (MFA-exempt group),2023-05-22,Y
okta-breakglass,Okta,Emergency Okta administration,E1001,Break-glass,FIDO2 key + vaulted password,2026-04-15,Y
aws-breakglass,AWS wcp-prod,Emergency AWS administration,E1012,Break-glass,Hardware MFA + vaulted password (no access keys),2026-05-12,Y
svc-reporting-etl,AWS wcp-prod,Monthly outcome-report ETL to legacy-reports,,Service,Static access key,2025-01-07,N
svc-ci-deploy,AWS wcp-prod,CI/CD deploy role for GitHub Actions,E1012,Service,OIDC federation (no stored credential),,N
svc-wcp-app,wcp-core-db,Application database identity,E1012,Service,Secrets Manager (auto-rotate 30d),2026-06-18,N
svc-quarrystone-extract,wcp-core-db,Nightly Quarrystone extract query,E1030,Service,Secrets Manager (auto-rotate 90d),2026-05-17,N
Administrator,wf-sftp-01,Local administrator,E1012,Break-glass,Vaulted password (rotated after each use),2026-06-02,Y
svc-quarrystone-sftp,wf-sftp-01,SFTP push of nightly extract to Quarrystone,,Service,SSH key,2024-04-10,N
cust-lakemont-drop,wf-sftp-01,Customer file exchange (Lakemont),E1080,Service,SSH key (customer-held),2026-01-31,N
svc-hris-sync,PeopleHub,HRIS-to-Okta attribute sync,E1002,Service,API token,2026-03-02,N
ironpeak-soc,Security tooling (EDR),MDR analyst containment actions,E1003,Shared,Shared password (vendor-held),2025-09-03,Y
svc-qs-api,Quarrystone portal,Nightly score retrieval,E1030,Service,API key,2025-12-12,N
