Test Procedure ID,Control ID,Control Name,Method,Assessment Object / Procedure,Expected Result,Actual Result,Step Result,Evidence,Control Determination,Deficiency,Related Finding,Worksheet
TP-AC-2-01,AC-2,Account Management,Examine,"Review ACP-002 v3.1 and SOP-IAM-02 v2.0 for account types, approvals, conditions, and review frequency","All AC-2 elements defined, including non-SSO and service accounts",Elements defined for Okta SSO accounts; local accounts and service accounts not addressed in the procedure,Fail,"EVID-001, EVID-002",Other Than Satisfied,"Account lifecycle not enforced for local, contractor, transferred, and service accounts.",FIND-001; FIND-004; FIND-005; FIND-006,docs/assessment/worksheets/AC-2.md
TP-AC-2-02,AC-2,Account Management,Interview,Walk through the joiner/mover/leaver process with IAM and HR; ask how HR events reach IT and how local accounts are found,Automated or reliably triggered handoff covering all account stores,HR emails IT; IT raises a ticket manually; no one owns local-account discovery; transfers do not trigger review,Fail,Interview notes 2026-06-16,Other Than Satisfied,"Account lifecycle not enforced for local, contractor, transferred, and service accounts.",FIND-001; FIND-004; FIND-005; FIND-006,docs/assessment/worksheets/AC-2.md
TP-AC-2-03,AC-2,Account Management,Test,"Reconcile 106 entitlements on 9 systems against HR status, role baseline, SoD rules, and service register (tools/review_engine.py)","0 unauthorized, orphaned, or unowned accounts","20 confirmed exceptions across 28 rows (4 terminated, 1 duplicate, 1 transfer, 1 inactive, 2 contractor, 3 service or shared, plus privilege exceptions under AC-6)",Fail,"EVID-005, EVID-006, EVID-013; access-review/access-review.csv",Other Than Satisfied,"Account lifecycle not enforced for local, contractor, transferred, and service accounts.",FIND-001; FIND-004; FIND-005; FIND-006,docs/assessment/worksheets/AC-2.md
TP-AC-2-04,AC-2,Account Management,Test,Verify every non-human account has an owner and a credential within rotation policy,13 of 13 owned and current,11 of 13 owned; 3 stale credentials; 1 shared vendor login,Fail,EVID-013,Other Than Satisfied,"Account lifecycle not enforced for local, contractor, transferred, and service accounts.",FIND-001; FIND-004; FIND-005; FIND-006,docs/assessment/worksheets/AC-2.md
TP-AC-2(3)-01,AC-2(3),Disable Accounts,Examine,Confirm the defined periods in policy (24h termination; 90 days inactivity),Periods defined,Defined in ACP-002 §5.3 and §5.6,Pass,EVID-001,Other Than Satisfied (remediation validated 2026-09-10),"Manual, Okta-only de-provisioning.",FIND-001,docs/assessment/worksheets/AC-2-3.md
TP-AC-2(3)-02,AC-2(3),Disable Accounts,Test,"For all 19 H1 terminations, compare HR effective time to Okta deactivation time",19 of 19 within 24h,16 of 19 within 24h; 1 late (209h); 2 never deactivated,Fail,"EVID-003, EVID-004; test-results/termination-deprovisioning.md",Other Than Satisfied (remediation validated 2026-09-10),"Manual, Okta-only de-provisioning.",FIND-001,docs/assessment/worksheets/AC-2-3.md
TP-AC-2(3)-03,AC-2(3),Disable Accounts,Test,"Search non-SSO stores (AWS IAM credential report, wf-sftp-01, vendor portal) for accounts of terminated workers",None active,mfeld-admin (AWS AdministratorAccess) active 95 days post-termination; pbrennan active in Quarrystone portal,Fail,"EVID-007, EVID-006",Other Than Satisfied (remediation validated 2026-09-10),"Manual, Okta-only de-provisioning.",FIND-001,docs/assessment/worksheets/AC-2-3.md
TP-AC-2(3)-04,AC-2(3),Disable Accounts,Test,Identify accounts inactive > 90 days,"None, or disabled automatically","sparks (240 days), rgupta2 (459 days); no automation",Fail,EVID-006,Other Than Satisfied (remediation validated 2026-09-10),"Manual, Okta-only de-provisioning.",FIND-001,docs/assessment/worksheets/AC-2-3.md
TP-AC-2(3)-05,AC-2(3),Disable Accounts,Test,VALIDATION (2026-09-10): re-perform on all terminations since 2026-07-01 and inspect 5 reconciliation job runs,100% within 24h; 0 job exceptions,7 of 7 within 24h (max 0.5h); 0 exceptions; only break-glass IAM user remains,Pass,"EVID-061, EVID-062, EVID-064",Other Than Satisfied (remediation validated 2026-09-10),"Manual, Okta-only de-provisioning.",FIND-001,docs/assessment/worksheets/AC-2-3.md
TP-AC-5-01,AC-5,Separation of Duties,Examine,Review Ledgerline SoD ruleset,"Conflicting duties defined for vendor, AP, and payment functions",SOD-01 and SOD-02 defined and appropriate,Pass,EVID-014,Other Than Satisfied,Conflict existed without a documented risk decision; compensating control operates.,FIND-007,docs/assessment/worksheets/AC-5.md
TP-AC-5-02,AC-5,Separation of Duties,Test,Apply SoD rules to all Ledgerline role assignments,No user holds conflicting roles,1 conflict: jmercer holds Vendor Master Maintain and Payment Approver (<= $25k),Fail,EVID-006; review engine F-SOD,Other Than Satisfied,Conflict existed without a documented risk decision; compensating control operates.,FIND-007,docs/assessment/worksheets/AC-5.md
TP-AC-5-03,AC-5,Separation of Duties,Test,"Inspect all 6 monthly compensating reviews (Jan–Jun): signed, dated, independent reviewer, exceptions followed up",6 of 6 operating,6 of 6 signed by Controller within 10 days; 2 bank changes independently verified by callback,Pass,EVID-015,Other Than Satisfied,Conflict existed without a documented risk decision; compensating control operates.,FIND-007,docs/assessment/worksheets/AC-5.md
TP-AC-5-04,AC-5,Separation of Duties,Examine,Check for a documented risk decision on the conflict,Approved acceptance at the correct authority,None at fieldwork; RACC-001 signed 2026-08-12,Fail,EVID-060,Other Than Satisfied,Conflict existed without a documented risk decision; compensating control operates.,FIND-007,docs/assessment/worksheets/AC-5.md
TP-AC-6(5)-01,AC-6(5),Privileged Accounts,Examine,Obtain the definition of privileged roles per system,Defined roles and caps,Defined in role_access_matrix (SRE for AWS admin; IAM Engineer for Okta SA; at most 3 GitHub owners),Pass,role_access_matrix.csv,Other Than Satisfied,Privileged holders exceed defined roles; separate admin accounts not in place.,FIND-003,docs/assessment/worksheets/AC-6-5.md
TP-AC-6(5)-02,AC-6(5),Privileged Accounts,Test,Enumerate all 37 privileged entitlements and compare holders to defined roles,All holders in defined roles,AWS admin 6 human-linked holders vs 3 roles; GitHub owners 5 vs 3; Okta SA 1 unauthorized,Fail,"EVID-016, EVID-017",Other Than Satisfied,Privileged holders exceed defined roles; separate admin accounts not in place.,FIND-003,docs/assessment/worksheets/AC-6-5.md
TP-AC-6(5)-03,AC-6(5),Privileged Accounts,Test,"Verify break-glass accounts are vaulted, MFA-protected, and tested",Controlled and tested quarterly,Both break-glass accounts vaulted with hardware MFA; last tests 2026-04-15 and 2026-05-12,Pass,"EVID-007, CHG-2026-0133",Other Than Satisfied,Privileged holders exceed defined roles; separate admin accounts not in place.,FIND-003,docs/assessment/worksheets/AC-6-5.md
