Finding ID,Title,Severity,Likelihood,Impact,Score,Primary Control,Related Controls,Related Risks,POA&M ID,Source,Related Items (AR-EX / VR / EVID),Date Identified,Owner,Status,Condition,Criteria,Cause,Effect,Recommendation,Management Response,Challenge Record
FIND-001,Terminated workforce retained active access,High,4,4,16,AC-2(3),AC-2(3); AC-2; AC-2(1); PS-4; PS-7,RISK-002,POAM-001,Control test + access review,AR-EX-01; AR-EX-02; AR-EX-03; AR-EX-04; VR-007; EVID-003; EVID-004; EVID-007; EVID-078,2026-07-06,Nadia Rahman (IAM Engineer),Closed,"2 of 19 workers terminated in H1 2026 were still enabled in Okta at the 2026-06-30 snapshot, and 1 more was disabled 9 days late. A terminated contractor signed in 4 days after the contract ended (INC-2026-0117). A local AWS IAM user with AdministratorAccess belonging to an employee terminated 2026-03-27 was still active 95 days later. A former employee still had a Quarrystone portal account (local authentication).",SHCA CSA §3.3 and ACP-002 §5.3 require disabling within 24 hours. HIPAA 164.308(a)(3)(ii)(C) requires termination procedures. The vendor SOC 2 CUEC requires Wrenfield to manage its portal users.,"De-provisioning depended on IT manually creating a ticket from an HR email, with no automated HR trigger (AC-2(1)). The offboarding checklist covered only Okta, not local accounts (AWS IAM users, wf-sftp-01, the vendor portal). Contract end dates were not enforced.","Former workers could reach PHI systems (AWS admin) or financial systems (Ledgerline AP) after separation. One post-termination sign-in required a HIPAA breach risk assessment (outcome, low probability of compromise).",Automate HR-driven de-provisioning or daily reconciliation with auto-ticketing. Eliminate or register all local accounts. Set expiry dates on contractor accounts. Add vendor portals to the JML checklist and pursue SSO for them.,Agree. The CISO committed to automated reconciliation by 2026-08-21 and local-account cleanup by 2026-07-10.,
FIND-002,MFA not enforced for all workforce and privileged accounts,High,4,4,16,IA-2(1),IA-2(1); IA-2(2),RISK-003,POAM-002,Control test + access review,AR-EX-11; EVID-010; EVID-011; EVID-007; EVID-063; EVID-064,2026-06-30,Nadia Rahman (IAM Engineer),Closed,"An Okta policy created in 2023 as a ""temporary"" workaround exempted the MFA-Exempt-Legacy group (11 accounts, 9 human) from MFA. One member was an Okta Super Administrator. None of the exemptions had approval or an expiry date. In AWS, the IAM user mfeld-admin (AdministratorAccess) had a console password and no MFA.",SHCA CSA §3.2 requires MFA for all privileged and remote access. HIPAA 164.312(d) requires person or entity authentication. ACP-002 §6.1 limits exceptions to 30 days with CISO approval.,"Exceptions were granted by help desk and IT without a workflow, an expiry, or review. Legacy IAM users bypass the Okta policy entirely.",Password-only access to an identity administrator account put every downstream system at risk from a single phished password. This is the exact MFA concern raised in the Lakemont review.,"Remove the exemption policy and group. Enroll all members, with accommodation alternatives such as hardware keys. Convert service users to non-interactive integrations. Require phishing-resistant MFA for admin apps. Remove IAM users other than break-glass. Implement a time-bound exception workflow.",Agree. Target 2026-09-05.,
FIND-003,Excessive privileged access and administration from daily-use accounts,High,3,5,15,AC-6(5),AC-6(5); AC-6; AC-6(2),RISK-001,POAM-003,Access review,AR-EX-05; AR-EX-06; AR-EX-07; AR-EX-08; AR-EX-09; AR-EX-10; EVID-016; EVID-017; EVID-071; EVID-075; EVID-076; EVID-077,2026-07-10,"Tomasz Wierzbicki (Director, Platform Engineering)",In Progress,"Production AWS AdministratorAccess was held by 2 engineers outside the SRE role, including a 2024 'temporary' migration grant. GitHub had 5 organization owners against an approved maximum of 3. An IT Manager held Okta Super Administrator. A Data Engineer had write access to the PHI primary database. 2 of 3 authorized SRE admins used their email and browsing accounts for production administration, contrary to ACP-002 §5.4.",AC-6 and AC-6(5) least privilege. ACP-002 §5.4 separate admin accounts. SOC 2 CC6.3 commitment.,"Privileged grants have no expiry, and no privileged-access review existed before this assessment. The separate-admin-account policy (2025-07) was never rolled out.","A compromised daily account, which is exposed to phishing and browsing, could immediately act as a production administrator over all PHI.","Remove excess grants. Issue -adm accounts with phishing-resistant MFA. Introduce just-in-time (JIT), approval-gated elevation with automatic expiry for AWS admin. Enforce the GitHub owner cap.",Agree. Engineering initially disputed the Data Engineer's need; resolved with time-boxed elevation. Target 2026-11-05.,
FIND-004,Access recertification incomplete and ineffective (access creep),Moderate,3,3,9,AC-6(7),AC-6(7); AC-2; PS-5,RISK-004,POAM-004,Control test + access review,AR-EX-12; AR-EX-13; AR-EX-14; EVID-008; EVID-009; EVID-044; EVID-074,2026-07-10,Alicia Moreno (CISO),In Progress,"Quarterly Okta certifications cover app assignments only. AWS, GitHub, database, and local accounts were never reviewed. In the Q1 campaign, 412 of 412 items were approved and 17 of 23 reviewers finished in under 5 minutes. The campaign approved a duplicate account (rgupta2) and a transferred user's prior-role PHI access, which that user used after the transfer. One user kept production access unused for 240 days.",SHCA CSA §3.3 requires quarterly privileged recertification. HIPAA 164.308(a)(4)(ii)(C). AC-6(7). PS-5.,Campaign scope is limited to what the Okta certification feature can see. Reviewers get no usage data or risk flags. Transfers do not trigger an access re-baseline.,"Access accumulates beyond need, which undermines least privilege and raises insider and compromise impact.",Expand campaigns to all privileged and PHI entitlements across the 9 systems. Give reviewers last-used dates and role-baseline deviations (the review engine output). Require a rationale for approving flagged items. Add a transfer-triggered re-certification.,Agree. The Q3 campaign is being run on the new design; its results are due 2026-09-30.,
FIND-005,"Service and shared accounts lack ownership, credential rotation, and individual accountability",Moderate,3,3,9,IA-5,IA-5; AC-2,RISK-017,POAM-005,Access review,AR-EX-18; AR-EX-19; AR-EX-20; EVID-013; EVID-065,2026-07-09,Nadia Rahman (IAM Engineer),Closed,"Of 13 non-human accounts: 2 had no documented owner (svc-quarrystone-sftp, whose SSH key was 811 days old and which pushes the nightly PHI extract; svc-reporting-etl, an IAM user with a 539-day static access key created by a now-terminated employee). The MDR vendor used a single shared login to the EDR console, so containment actions could not be attributed to individual analysts.",IA-5 (refresh authenticators; the Wrenfield standard is 365 days). AC-2 (account managers for every account). ACP-002 §4.2 (no shared accounts).,The service-account register had no owner or rotation fields. Vendor access was set up for convenience during MDR onboarding.,"Long-lived secrets increase the chance of undetected credential theft, and orphaned accounts are not monitored by anyone.","Assign owners. Rotate or federate credentials (IAM roles, OIDC). Replace the shared vendor login with named federated accounts. Add owner and rotation fields and quarterly attestation to the register.",Agree. Target 2026-09-12.,
FIND-006,Contractor access not bound to engagement term and scope,Moderate,2,4,8,PS-7,PS-7; AC-2,RISK-002; RISK-004,POAM-006,Access review,AR-EX-15; AR-EX-16; EVID-045; EVID-066,2026-07-08,Sofia Ricci (Engineering Manager),Closed,One contractor remained active 22 days past the recorded contract end date while working under an extension that had not been documented. The same contractor had PHI production database access that the QA SOW did not require (QA uses staging with synthetic data).,PS-7 (external personnel requirements and monitoring). ACP-002 §5.3 (contractor end dates enforced). Minimum necessary (HIPAA 164.502(b)).,"Contractor end dates were not enforced in Okta, and access requests were not checked against SOW scope.","Contractor access can outlive or exceed the engagement, which increases PHI exposure through third-party personnel.",Set Okta account expiry equal to the SOW end date. Require SOW scope on contractor access requests. Send a monthly contractor roster to sponsors.,Agree. Target 2026-09-10.,
FIND-007,Segregation-of-duties conflict in vendor payment process,Moderate,2,3,6,AC-5,AC-5,RISK-013,POAM-007,Access review,AR-EX-17; EVID-014; EVID-015; EVID-060,2026-07-10,Laura Brenneman (Controller),Risk Accepted,"The Senior Accountant can both maintain vendor master data (including bank details) and approve payments up to $25,000 (SOD-01). A compensating control, a monthly vendor-master change report reviewed by the Controller, operated 6 of 6 months, but it was never formally documented as a risk decision.",AC-5. Wrenfield internal-control policy (Board-approved) on payment SoD.,The finance team shrank to three people after the AP Specialist left in 2026-05. Duties were consolidated temporarily.,"A single person could create or alter a vendor and approve payment to it, up to $25,000 per transaction.","Formally accept the risk with the compensating control and an expiry date, and redesign roles when the AP role is backfilled. Keep the callback verification of bank-detail changes.","Agree. RACC-001 signed by the CFO (risk owner) with CISO concurrence on 2026-08-12, expiring 2027-03-31.",
FIND-008,Audit log retention below the 12-month contractual requirement,Moderate,3,3,9,AU-11,AU-11,RISK-005,POAM-008,Control test,EVID-024; EVID-067,2026-06-25,Owen Castillo (Security Engineer),Closed,CloudTrail logs expired after 180 days. Application audit logs recording PHI access (who viewed which patient) were kept 90 days. SIEM hot retention was 90 days.,SHCA CSA §4.1 requires 12 months (90 days searchable). HIPAA 164.312(b) audit controls. Customers' breach investigations need historical PHI-access records.,"Retention was set in 2022 for cost reasons, before contractual requirements existed, and was never revisited.","If a breach were discovered late, which is common, Wrenfield could not show which patients' records were accessed. That could force broader breach notifications than necessary and would breach the SHCA contract.",Extend retention to 400 days via lifecycle tiering. Archive application audit logs to the log-archive account. Keep 90 days searchable in the SIEM. Add a quarterly oldest-record check.,Agree. Target 2026-09-15.,
FIND-009,Privileged-activity log reviews not consistently performed or documented,Moderate,3,3,9,AU-6,AU-6,RISK-005,POAM-009,Control test,EVID-022; EVID-072,2026-06-26,Owen Castillo (Security Engineer),In Progress,"The weekly privileged-activity review was performed in 19 of 26 weeks and fully effective in 17 of 26 (65%). Missed weeks coincided with a SIEM migration and reviewer PTO. Two reviews were marked ""Reviewed"" with flagged items left undispositioned. The review scope excluded local AWS IAM users.",AU-6. LMS-004 §6 weekly review. HIPAA 164.308(a)(1)(ii)(D) information system activity review.,"The review depends on one person with no backup reviewer, no escalation when a week is missed, and a report scope defined before local IAM users were known.","Misuse of privileged access, such as an admin creating a backdoor account, could go unnoticed for weeks.",Name a backup reviewer (the MDR under an SOW change). Auto-create the weekly ticket with escalation after 5 business days. Expand scope to all privileged principals. Require a disposition per flagged item.,Agree. Committed 2026-09-15; the MDR SOW change was delayed in procurement.,
FIND-010,Vulnerability remediation exceeds contractual SLAs,High,3,4,12,SI-2,SI-2,RISK-006,POAM-010,Control test,EVID-048; OBS-02; OBS-04,2026-06-29,Grace Lindqvist (VP Engineering),In Progress,"14 of 61 (23%) Critical and High vulnerabilities in H1 exceeded SLA. 6 remained open past SLA at 2026-06-30, including 2 Critical in the notify-worker container (end-of-life Node.js 16 and OpenSSL 1.1.1). 4 of the 6 are on unsupported hosts where no patch exists. No risk exceptions were filed. Engineering asserts the 2 Critical items are unreachable.","SHCA CSA §7.1 (Critical 15 days, High 30 days). VM-003 §5 SLAs and §7 exception process.","End-of-life runtimes block patching, and the exception process is not used. Remediation work competes with feature work without SLA visibility. 7% of resources are untagged, which delays scan scoping.","Known exploitable weaknesses stay open longer than allowed, which increases the chance of compromise and breaches the contract.",Upgrade the notify-worker runtime. File documented exceptions with reachability analysis where they are justified. Add SLA dashboards to engineering planning. Enforce tag policy. Consider SI-2(7) root-cause analysis (new in Release 5.2.0) for repeat SLA misses.,Partially agree. Engineering disputes the 2 Critical ratings (no network-reachable path) but agrees the exception process must be used. Target 2026-11-05.,"Assessor position: exploitability may justify an exception, but only through the documented VM-003 §7 process with evidence (reachability analysis, compensating controls, CISO approval, and an expiry). An assertion in a meeting is not evidence. The determination stands. Management accepted this approach, and an exception request with reachability analysis is milestone M1."
