login,employee_id,account_type,okta_status,mfa_enrolled,in_mfa_exempt_group,last_login,created
amoreno,E1001,Employee,ACTIVE,Y,N,2026-06-30,2021-03-01
nrahman,E1002,Employee,ACTIVE,Y,N,2026-06-30,2022-05-16
nrahman-adm,E1002,Admin (separate),ACTIVE,Y,N,2026-06-26,2023-02-01
ocastillo,E1003,Employee,ACTIVE,Y,N,2026-06-30,2022-09-06
praman,E1004,Employee,ACTIVE,Y,N,2026-06-29,2023-01-09
shaddad,E1010,Employee,ACTIVE,Y,N,2026-06-29,2017-02-01
glindqvist,E1011,Employee,ACTIVE,Y,N,2026-06-30,2020-06-15
twierzbicki,E1012,Employee,ACTIVE,Y,N,2026-06-30,2019-04-01
jkim,E1013,Employee,ACTIVE,Y,N,2026-06-30,2020-10-05
jkim-adm,E1013,Admin (separate),ACTIVE,Y,N,2026-06-27,2025-08-11
lbaptiste,E1014,Employee,ACTIVE,Y,N,2026-06-30,2023-03-13
mfeld,E1015,Employee,DEPROVISIONED,Y,N,2026-03-27,2021-08-02
sricci,E1020,Employee,ACTIVE,Y,N,2026-06-30,2021-01-11
dokonkwo,E1021,Employee,ACTIVE,Y,N,2026-06-30,2021-07-19
hlarsen,E1022,Employee,ACTIVE,Y,N,2026-06-29,2022-11-07
rgupta,E1023,Employee,ACTIVE,Y,N,2026-06-30,2025-04-01
rgupta2,C2004,Contractor,ACTIVE,Y,N,2025-03-28,2024-06-03
vosei,C2001,Contractor,ACTIVE,Y,N,2026-06-09,2025-09-08
awu,C2002,Contractor,ACTIVE,Y,N,2026-06-30,2025-12-01
lporter,E1030,Employee,ACTIVE,Y,N,2026-06-30,2021-05-03
bnguyen,E1031,Employee,ACTIVE,Y,N,2026-06-30,2022-02-14
cfernandes,E1032,Employee,ACTIVE,Y,N,2026-06-30,2023-06-05
kbrandt,E1040,Employee,ACTIVE,N,Y,2026-06-30,2019-09-09
tjohnson,E1041,Employee,ACTIVE,Y,N,2026-06-30,2024-02-05
rokafor,E1050,Employee,ACTIVE,Y,N,2026-06-26,2020-01-06
lbrenneman,E1051,Employee,ACTIVE,Y,N,2026-06-30,2021-10-04
jmercer,E1052,Employee,ACTIVE,Y,N,2026-06-30,2022-08-22
dwhitlock,E1053,Employee,ACTIVE,Y,N,2026-05-21,2023-04-17
bkowalski,E1054,Employee,ACTIVE,Y,N,2026-06-29,2023-09-11
dyamamoto,E1060,Employee,ACTIVE,Y,N,2026-06-30,2020-03-02
mcole,E1061,Employee,ACTIVE,N,Y,2026-06-30,2022-06-27
sparks,E1070,Employee,ACTIVE,Y,N,2026-06-30,2023-07-10
tmaddox,E1080,Employee,ACTIVE,Y,N,2026-06-30,2022-10-03
ebrooks,E1081,Employee,ACTIVE,Y,N,2026-06-30,2024-05-20
mcastell,E1090,Employee,ACTIVE,Y,N,2026-06-24,2019-11-04
gholloway,E1091,Employee,ACTIVE,Y,N,2026-06-30,2021-09-13
rdiaz,E1092,Employee,ACTIVE,Y,N,2026-06-30,2023-02-06
pbrennan,E0977,Employee,DEPROVISIONED,Y,N,2025-11-10,2022-01-10
ext-assessor,X3001,External,ACTIVE,Y,N,2026-06-30,2026-06-15
okta-breakglass,,Break-glass,ACTIVE,Y,N,2026-04-15,2023-02-01
svc-vulnscan,,Service,ACTIVE,N,Y,2026-06-30,2023-05-22
