Evidence ID,Control ID,Evidence Request,Artifact Description,Evidence Owner,Request Date,Due Date,Received Date,Status,Evidence Period,File / Repository Location,In Repo?,Reviewer,Review Result,Evidence Level,Sufficiency,Exception,Follow-Up Required,Days Late,Notes
EVID-001,AC-1,Current Access Control Policy with approval record and review history,ACP-002 Access Control Policy v3.1 (PDF) + approval minutes 2025-01-15,Alicia Moreno,2026-06-10,2026-06-19,2026-06-12,Accepted,Current version,GRC-Vault:/WCP-2026/AC/EVID-001_ACP-002_v3.1.pdf,No,Lead assessor,Content adequate; last approval 2025-01-15 exceeds the annual review cycle,Design,Sufficient,,No,0,Drives OBS-01. Policy existence alone did not satisfy AC-2 or AC-6
EVID-002,AC-2; AC-2(3); PS-4; PS-5,Joiner/mover/leaver procedure,SOP-IAM-02 Account Lifecycle v2.0,Nadia Rahman,2026-06-10,2026-06-19,2026-06-12,Accepted,Current version,GRC-Vault:/WCP-2026/AC/EVID-002_SOP-IAM-02_v2.0.pdf,No,Lead assessor,Describes a manual HR-email to IT-ticket flow; no step for local accounts or transfers,Design,Sufficient,,No,0,Design gap is visible in the procedure itself
EVID-003,AC-2(3); PS-4,"System-generated list of ALL terminations 2026-01-01 to 2026-06-30 (worker ID, type, date, effective time)",PeopleHub report 'Terminations by Effective Date' + final-pay reconciliation,Denise Yamamoto,2026-06-10,2026-06-19,2026-06-17,Accepted,2026-01-01 to 2026-06-30,evidence/AC/EVID-003_peoplehub-terminations-2026H1.csv,Yes,Lead assessor,IPE validated: 19 of 19 reconciled to final pay/invoice,Operating Effectiveness,Sufficient,,No,0,Assessor observed report generation over screen share
EVID-004,AC-2(3),Okta System Log export of user.lifecycle.deactivate events for the period,Okta System Log API export,Nadia Rahman,2026-06-10,2026-06-19,2026-06-17,Accepted,2026-01-01 to 2026-06-30,evidence/AC/EVID-004_okta-deactivation-events-2026H1.csv,Yes,Lead assessor,17 events; matched to EVID-003,Operating Effectiveness,Sufficient,,No,0,
EVID-005,AC-2; AC-2(1); IA-2; AC-6(2),Okta user export (all statuses) with MFA enrollment and group membership as of 2026-06-30,Okta Users API export,Nadia Rahman,2026-06-10,2026-06-19,2026-07-01,Accepted,As of 2026-06-30,access-review/source-exports/okta_users.csv,Yes,Lead assessor,Complete for in-scope population; account types verified,Implementation,Sufficient,,No,12,
EVID-006,AC-2; AC-6; AC-6(5),Entitlement exports from each in-scope system as of 2026-06-30,"Exports from AWS IAM Identity Center/IAM, GitHub, Aurora roles, wf-sftp-01, PeopleHub, Ledgerline, SIEM, EDR, Quarrystone portal",System owners (9 systems),2026-06-10,2026-07-01,2026-07-03,Accepted,As of 2026-06-30,access-review/source-exports/entitlements.csv,Yes,Lead assessor,"106 entitlements; 2 exports re-pulled after column omissions (Ledgerline, portal)",Implementation,Sufficient,,No,2,Ledgerline export first omitted role assignment dates; returned 2026-07-03
EVID-007,AC-2; IA-2(1); IA-5,AWS IAM credential report for wcp-prod,IAM credential report (CSV),Tomasz Wierzbicki,2026-06-10,2026-06-19,2026-07-01,Accepted,As of 2026-06-30,evidence/IA/EVID-007_aws-iam-credential-report_2026-06-30.csv,Yes,Lead assessor,Revealed mfeld-admin (no MFA) and svc-reporting-etl static key,Implementation,Sufficient,,No,12,
EVID-008,AC-6(7),"Q1 2026 access certification campaign export (reviewer, item, decision, timestamp)",Okta Access Certification campaign export Q1-2026 (412 decisions),Alicia Moreno,2026-06-10,2026-06-19,2026-06-24,Accepted,2026-03-02 to 2026-03-20,evidence/AC/EVID-008_q1-certification-summary.md,Yes,Lead assessor,100% approved; 17 of 23 reviewers finished in under 5 minutes; approved 2 items later found invalid,Operating Effectiveness,Sufficient,,No,5,
EVID-009,AC-6(7),Evidence that quarterly access reviews are performed,"Screenshot: 'Q1 Access Review, 100% complete' dashboard tile",Alicia Moreno,2026-06-10,2026-06-19,2026-06-15,Insufficient,Undated,evidence/AC/EVID-009_insufficient-screenshot-example.md,Yes,Lead assessor,"No population, reviewers, decisions, or date; cannot show review quality",Design,Insufficient,Screenshot shows completion status only,Yes: replaced by EVID-008,0,Teaching example: completion does not prove effectiveness
EVID-010,IA-2(1); IA-2(2); IA-2(8),Okta authentication and global session policy export,Okta Policies API export,Nadia Rahman,2026-06-10,2026-06-19,2026-06-30,Accepted,As of 2026-06-30,evidence/IA/EVID-010_okta-authentication-policies_2026-06-30.json,Yes,Lead assessor,Global policy excludes MFA-Exempt-Legacy group; admin apps accept non-phishing-resistant factors,Implementation,Sufficient,,No,11,
