POA&M ID,Related Finding,Related Control,Related Risk,Weakness,Root Cause,Severity,Corrective Action,Milestones,Owner,Resources Required,Open Date,SLA Date,Original Target Date,Current Target Date,Target Change Reason,Current Status,Percent Complete,Days Open,Overdue?,Slipped?,Target Within SLA?,Dependencies,Validation Method,Closure Evidence,Validated By,Closure Date,Residual Risk,Notes
POAM-001,FIND-001,AC-2(3); AC-2; AC-2(1); PS-4; PS-7,RISK-002,"Terminated workforce retained active access (SSO, local AWS IAM, vendor portal)",Manual HR-email-to-IT ticketing with no automated trigger; local accounts not in offboarding checklist; contractor end dates not enforced,High,Disable identified accounts; implement daily HR-to-Okta/AWS/portal reconciliation with auto-ticketing; update SOP-IAM-02 with a local-account checklist and 24h SLA,"M1 Disable 4 identified accounts (AR-EX-01..04); investigate post-termination sign-in (INC-2026-0117) (due 2026-07-10; Done) | M2 Deploy daily HR-to-Okta/AWS IAM/portal reconciliation job with auto-ticketing (due 2026-08-21; Done) | M3 Update SOP-IAM-02 (24h SLA, local-account checklist, vendor portals); train IT (due 2026-08-28; Done) | M4 Assessor validation: re-perform termination test on all terminations since 2026-07-01 + 5 job runs (due 2026-09-11; Done)",Nadia Rahman (IAM Engineer),IAM Engineer (about 60h); Okta Workflows (existing license); HR ops (4h),2026-08-07,2026-11-05,2026-09-11,2026-09-11,,Closed,1.0,34,No,No,Yes,Okta Workflows connector to PeopleHub,"Re-performance: tools/assessment_tests.py termination-validation (7 of 7 within 24h, 0 job exceptions); inspection of IAM credential report (break-glass only)",EVID-061; EVID-062; EVID-064; EVID-078,Lead assessor,2026-09-10,Moderate (RISK-002 residual L2 x I4 = 8),Operating sample is small (7); full re-test scheduled for FY27.
POAM-002,FIND-002,IA-2(1); IA-2(2),RISK-003,MFA exemption group and AWS IAM user without MFA,"Exceptions granted without workflow, expiry, or review; legacy IAM users bypass Okta policy",High,Delete exemption policy and group; enroll all members (hardware key accommodation); convert service users to integrations; require phishing-resistant MFA for admin apps; delete non-break-glass IAM users; add time-bound exception workflow,"M1 Enroll 9 human members in MFA (accommodation for 1) (due 2026-08-28; Done) | M2 Convert svc-vulnscan and svc-confroom to non-interactive integrations (due 2026-08-28; Done) | M3 Delete Legacy Exemption Policy and group; phishing-resistant policy on admin apps (CHG-2026-0731) (due 2026-09-01; Done) | M4 Assessor validation: policy export, group lookup, password-only sign-in attempt, IAM credential report (due 2026-09-05; Done)",Nadia Rahman (IAM Engineer),IAM Engineer (about 30h); 12 FIDO2 keys (about $600),2026-08-07,2026-11-05,2026-09-05,2026-09-05,,Closed,1.0,29,No,No,Yes,Hardware key delivery for accessibility accommodation,Inspection of Okta policy export and IAM credential report; re-performance of password-only sign-in with a test account (denied),EVID-063; EVID-064,Lead assessor,2026-09-05,Moderate (RISK-003 residual L2 x I4 = 8),
POAM-003,FIND-003,AC-6(5); AC-6; AC-6(2),RISK-001,Excessive privileged access; administration from daily-use accounts,Privileged grants without expiry; no privileged-access review before 2026; separate-admin policy never rolled out,High,Remove excess grants; issue -adm accounts with phishing-resistant MFA; implement approval-gated JIT elevation for AWS admin; enforce GitHub owner cap,M1 Remove excess grants: AR-EX-05/06/07/08/09 (due 2026-08-21; Done) | M2 Issue -adm accounts for remaining admins; remove admin from daily accounts (AR-EX-10) (due 2026-09-30; In Progress) | M3 Implement JIT elevation (approval + 4h auto-expiry) for AWS AdministratorAccess (due 2026-10-23; In Progress) | M4 Assessor validation: assignment export + live elevation record with CloudTrail evidence (due 2026-11-05; Not Started),"Tomasz Wierzbicki (Director, Platform Engineering)",SRE (about 80h); IAM Engineer (about 20h),2026-08-07,2026-11-05,2026-11-05,2026-11-05,,In Progress,0.25,42,No,No,Yes,IAM Identity Center permission-set redesign; EVID-071 returned as Rework Required (design-only evidence),"Inspection of Identity Center/GitHub/Okta admin exports; re-performance: request and observe a JIT elevation, confirm auto-expiry in CloudTrail",EVID-075; EVID-076; EVID-077; EVID-071,,,Moderate target (RISK-001 residual L2 x I4 = 8); currently High,"Evidence EVID-071 rejected: a screenshot of an approval screen shows the design, not that elevation operates."
POAM-004,FIND-004,AC-6(7); AC-2; PS-5,RISK-004,Access recertification incomplete in scope and ineffective in operation,Campaign scope limited to Okta app assignments; no usage data or risk flags for reviewers; no transfer trigger,Moderate,Redesign certification to cover all privileged and PHI entitlements on 9 systems with usage and baseline flags; require rationale for approving flagged items; transfer-triggered re-certification,"M1 Revoke duplicate, transferred, and inactive access (AR-EX-12/13/14) (due 2026-07-17; Done) | M2 Add transfer trigger to SOP-IAM-02 (re-baseline access within 5 business days) (due 2026-08-28; Done) | M3 Run Q3 privileged certification on new design (EVID-074) (due 2026-09-30; In Progress) | M4 Assessor validation: review Q3 campaign decisions for flagged items and rationale quality (due 2026-10-31; Not Started)",Alicia Moreno (CISO),GRC Manager (about 40h); IAM Engineer (about 30h); review_engine.py reused as the flagging logic,2026-08-07,2027-02-03,2026-10-31,2026-10-31,,In Progress,0.5,42,No,No,Yes,Q3 campaign completion by reviewers,Inspection of campaign export (population completeness vs entitlement exports; % flagged items with rationale; removals actioned),EVID-061; EVID-074,,,Moderate (RISK-004 residual L2 x I3 = 6),
POAM-005,FIND-005,IA-5; AC-2,RISK-017,"Service/shared accounts without owners, stale credentials, shared vendor login",Service register lacked owner/rotation fields; vendor access set up for convenience,Moderate,Assign owners; rotate or federate stale credentials; named federated accounts for MDR analysts; add owner/rotation fields and quarterly attestation to the register,M1 Assign owners to all 13 non-human accounts; add fields to register (due 2026-08-21; Done) | M2 Rotate svc-quarrystone-sftp key (AR-EX-18) (due 2026-08-28; Done) | M3 Replace ironpeak-soc shared login with 6 named federated accounts (AR-EX-20) (due 2026-09-04; Done) | M4 Migrate svc-reporting-etl to IAM role; delete IAM user (AR-EX-19) (due 2026-09-11; Done) | M5 Assessor validation: register re-test (owner + credential age) and IAM credential report (due 2026-09-12; Done),Nadia Rahman (IAM Engineer),IAM Engineer (about 20h); SRE (about 16h),2026-08-07,2027-02-03,2026-09-12,2026-09-12,,Closed,1.0,36,No,No,Yes,Ironpeak MDR SSO onboarding,Re-performance of the review engine's service-account checks on the updated register; inspection of EDR console user list (no shared logins),EVID-065; EVID-064,Lead assessor,2026-09-12,Low (RISK-017 residual L1 x I4 = 4),
POAM-006,FIND-006,PS-7; AC-2,RISK-002; RISK-004,Contractor access not bound to engagement term and scope,Contract end dates not enforced in Okta; access requests not checked against SOW scope,Moderate,Okta account expiry = SOW end date for all contractors; SOW scope required on contractor access requests; monthly contractor roster to sponsors,M1 Execute SOW amendment for awu; revoke out-of-scope PHI access (AR-EX-15/16) (due 2026-07-24; Done) | M2 Set Okta expiry for all contractor accounts; add SOW-scope field to access request form (due 2026-08-28; Done) | M3 Assessor validation: expiry report vs SOW register (due 2026-09-10; Done),Sofia Ricci (Engineering Manager),IAM Engineer (about 8h); Vendor Mgmt (about 4h),2026-08-07,2027-02-03,2026-09-10,2026-09-10,,Closed,1.0,34,No,No,Yes,,Inspection: Okta expiry dates reconciled to SOW register for all active contractors (29 of 29),EVID-066,Lead assessor,2026-09-10,Moderate (RISK-002 residual),
POAM-007,FIND-007,AC-5,RISK-013,SoD conflict (vendor master + payment approval),Finance team reduced to 3 after AP departure,Moderate,Formal risk acceptance (RACC-001) with compensating monthly independent review; split roles when AP role is backfilled,M1 Sign RACC-001 (CFO as risk owner; CISO concurrence) (due 2026-08-14; Done) | M2 Continue monthly compensating review (evidence each month to GRC) (due 2027-03-31; In Progress) | M3 Split roles at AP backfill (requisition open) (due 2027-03-31; Not Started),Laura Brenneman (Controller),Controller (2h/month for compensating review),2026-08-07,2027-02-03,2027-03-31,2027-03-31,,Risk Accepted,0.33,42,No,No,n/a (acceptance expiry),AP Specialist hire,Monthly: GRC inspects signed vendor-master change report; at expiry: re-test role assignments,EVID-060; EVID-015,,,"Moderate, accepted (RISK-013 residual L2 x I3 = 6)","Accepted risks stay on the POA&M until expiry so they are re-decided, not forgotten."
POAM-008,FIND-008,AU-11,RISK-005,Audit log retention below 12-month requirement,2022 cost-driven retention settings never revisited after contractual requirements emerged,Moderate,400-day lifecycle with tiering (hot 90d searchable); archive application audit logs to log-archive; quarterly oldest-record check,M1 Change S3 lifecycle to 400-day expiry with Glacier IR after 90d (CHG-2026-0702) (due 2026-08-21; Done) | M2 Subscribe app-audit CloudWatch logs to log-archive (Firehose) (due 2026-08-28; Done) | M3 Assessor validation: config inspection + oldest-object query (due 2026-09-15; Done),Owen Castillo (Security Engineer),Security Engineer (about 16h); storage cost about $180/month,2026-08-07,2027-02-03,2026-09-15,2026-09-15,,Closed,1.0,39,No,No,Yes,,"Inspection of lifecycle/subscription config; test: oldest CloudTrail object (2026-03-20, 182 days) still present after old 180-day rule would have expired it",EVID-067,Lead assessor,2026-09-15,Moderate (RISK-005 residual after POAM-009),Full 12-month retention can only be demonstrated over time; FY27 assessment re-tests.
POAM-009,FIND-009,AU-6,RISK-005,Weekly privileged-activity review missed 7 of 26 weeks; 2 incomplete,Single reviewer; no escalation; scope excluded local IAM users,Moderate,Backup reviewer (MDR under SOW change); auto-created weekly ticket with 5-day escalation; expand scope to all privileged principals; disposition required per flag,M1 Expand SIEM report scope to all privileged principals incl. IAM users (due 2026-08-21; Done) | M2 Auto-create weekly review ticket with escalation to CISO at 5 business days (due 2026-08-28; Done) | M3 Execute MDR SOW change for backup reviewer (due 2026-09-11; Delayed) | M4 Assessor validation: W27–W37 reviews (EVID-072) (due 2026-09-15; Not Started),Owen Castillo (Security Engineer),"MDR SOW change (about $1,500/month); Security Engineer (about 12h)",2026-08-07,2027-02-03,2026-09-15,2026-09-15,,In Progress,0.5,42,Yes,No,Yes,Procurement approval of MDR SOW change (pending CFO signature),Test: all weeks since change performed within 5 days with dispositions; inspect escalation config,EVID-072,,,Moderate (RISK-005 residual L2 x I3 = 6),Overdue since 2026-09-15; escalated to CISO 2026-09-16.
POAM-010,FIND-010,SI-2,RISK-006,23% of Critical/High vulnerabilities exceeded SLA; exception process unused,End-of-life runtimes block patching; no exception discipline; SLA not visible in engineering planning; 7% untagged assets,High,Upgrade notify-worker runtime; file exceptions with reachability analysis where justified; SLA dashboard in sprint planning; tag-policy SCP,M1 Submit VM-003 §7 exception for 2 notify-worker criticals with reachability analysis (CISO decision) (due 2026-08-21; Done) | M2 Upgrade notify-worker to supported Node.js LTS + current base image (due 2026-09-30; In Progress) | M3 SLA-breach dashboard reviewed in weekly engineering leads meeting (due 2026-09-15; Done) | M4 Tag-policy SCP denying untagged EC2/EKS launches (OBS-02) (due 2026-10-15; Not Started) | M5 Assessor validation: re-run SLA test on Q3 population (due 2026-11-05; Not Started),Grace Lindqvist (VP Engineering),Engineering (about 3 sprint-weeks); Security Engineer (about 16h),2026-08-07,2026-11-05,2026-11-05,2026-11-05,,In Progress,0.4,42,No,No,Yes,FIND-011 (4 open breaches resolve only when legacy hosts are decommissioned),"Re-performance: tools/assessment_tests.py vulnsla on Q3 export (target: >= 95% within SLA, 0 open Critical past SLA without exception)",,,,Moderate (RISK-006 residual L2 x I4 = 8),CISO approved a 30-day exception for the 2 criticals (expires 2026-09-30) contingent on M2; consider SI-2(7) root cause analysis (OBS-04).
