published,eventType,target_login,target_worker_id,actor,outcome,ticket
2026-01-09T17:42:10-05:00,user.lifecycle.deactivate,apike,E1188,tjohnson,SUCCESS,IT-2026-00041
2026-01-16T18:05:33-05:00,user.lifecycle.deactivate,btorres,E1102,tjohnson,SUCCESS,IT-2026-00077
2026-01-30T16:10:02-05:00,user.lifecycle.deactivate,cashby,C2011,nrahman,SUCCESS,IT-2026-00139
2026-02-07T09:12:47-05:00,user.lifecycle.deactivate,diyer,E1120,tjohnson,SUCCESS,IT-2026-00188
2026-02-13T17:30:19-05:00,user.lifecycle.deactivate,ewalsh,E1133,nrahman,SUCCESS,IT-2026-00214
2026-03-01T10:22:05-05:00,user.lifecycle.deactivate,fqureshi,E1142,tjohnson,SUCCESS,IT-2026-00262
2026-03-06T17:15:41-05:00,user.lifecycle.deactivate,gmoss,E1151,tjohnson,SUCCESS,IT-2026-00301
2026-03-27T17:05:12-04:00,user.lifecycle.deactivate,mfeld,E1015,nrahman,SUCCESS,IT-2026-00377
2026-04-03T16:40:58-04:00,user.lifecycle.deactivate,hcho,E1160,tjohnson,SUCCESS,IT-2026-00410
2026-04-10T17:55:23-04:00,user.lifecycle.deactivate,iromero,E1167,nrahman,SUCCESS,IT-2026-00436
2026-04-17T15:20:07-04:00,user.lifecycle.deactivate,jmertens,C2015,tjohnson,SUCCESS,IT-2026-00462
2026-04-25T08:45:36-04:00,user.lifecycle.deactivate,kbenton,E1172,tjohnson,SUCCESS,IT-2026-00489
2026-05-01T17:02:14-04:00,user.lifecycle.deactivate,lferris,E1178,tjohnson,SUCCESS,IT-2026-00511
2026-05-08T16:58:50-04:00,user.lifecycle.deactivate,mruiz,E1183,tjohnson,SUCCESS,IT-2026-00533
2026-05-29T17:20:29-04:00,user.lifecycle.deactivate,npatel,E1190,nrahman,SUCCESS,IT-2026-00598
2026-06-12T17:40:03-04:00,user.lifecycle.deactivate,olindgren,E1195,tjohnson,SUCCESS,IT-2026-00641
2026-06-26T17:11:44-04:00,user.lifecycle.deactivate,pszabo,E1199,tjohnson,SUCCESS,IT-2026-00688
