POA&M ID,Milestone,Description,Due Date,Status,Completed Date,Late?
POAM-001,M1,Disable 4 identified accounts (AR-EX-01..04); investigate post-termination sign-in (INC-2026-0117),2026-07-10,Done,2026-07-09,No
POAM-001,M2,Deploy daily HR-to-Okta/AWS IAM/portal reconciliation job with auto-ticketing,2026-08-21,Done,2026-08-03,No
POAM-001,M3,"Update SOP-IAM-02 (24h SLA, local-account checklist, vendor portals); train IT",2026-08-28,Done,2026-08-26,No
POAM-001,M4,Assessor validation: re-perform termination test on all terminations since 2026-07-01 + 5 job runs,2026-09-11,Done,2026-09-10,No
POAM-002,M1,Enroll 9 human members in MFA (accommodation for 1),2026-08-28,Done,2026-08-27,No
POAM-002,M2,Convert svc-vulnscan and svc-confroom to non-interactive integrations,2026-08-28,Done,2026-08-27,No
POAM-002,M3,Delete Legacy Exemption Policy and group; phishing-resistant policy on admin apps (CHG-2026-0731),2026-09-01,Done,2026-08-28,No
POAM-002,M4,"Assessor validation: policy export, group lookup, password-only sign-in attempt, IAM credential report",2026-09-05,Done,2026-09-05,No
POAM-003,M1,Remove excess grants: AR-EX-05/06/07/08/09,2026-08-21,Done,2026-08-20,No
POAM-003,M2,Issue -adm accounts for remaining admins; remove admin from daily accounts (AR-EX-10),2026-09-30,In Progress,,No
POAM-003,M3,Implement JIT elevation (approval + 4h auto-expiry) for AWS AdministratorAccess,2026-10-23,In Progress,,No
POAM-003,M4,Assessor validation: assignment export + live elevation record with CloudTrail evidence,2026-11-05,Not Started,,No
POAM-004,M1,"Revoke duplicate, transferred, and inactive access (AR-EX-12/13/14)",2026-07-17,Done,2026-07-14,No
POAM-004,M2,Add transfer trigger to SOP-IAM-02 (re-baseline access within 5 business days),2026-08-28,Done,2026-08-25,No
POAM-004,M3,Run Q3 privileged certification on new design (EVID-074),2026-09-30,In Progress,,No
POAM-004,M4,Assessor validation: review Q3 campaign decisions for flagged items and rationale quality,2026-10-31,Not Started,,No
POAM-005,M1,Assign owners to all 13 non-human accounts; add fields to register,2026-08-21,Done,2026-08-18,No
POAM-005,M2,Rotate svc-quarrystone-sftp key (AR-EX-18),2026-08-28,Done,2026-08-25,No
POAM-005,M3,Replace ironpeak-soc shared login with 6 named federated accounts (AR-EX-20),2026-09-04,Done,2026-08-31,No
POAM-005,M4,Migrate svc-reporting-etl to IAM role; delete IAM user (AR-EX-19),2026-09-11,Done,2026-09-03,No
POAM-005,M5,Assessor validation: register re-test (owner + credential age) and IAM credential report,2026-09-12,Done,2026-09-12,No
POAM-006,M1,Execute SOW amendment for awu; revoke out-of-scope PHI access (AR-EX-15/16),2026-07-24,Done,2026-07-22,No
POAM-006,M2,Set Okta expiry for all contractor accounts; add SOW-scope field to access request form,2026-08-28,Done,2026-08-24,No
POAM-006,M3,Assessor validation: expiry report vs SOW register,2026-09-10,Done,2026-09-08,No
POAM-007,M1,Sign RACC-001 (CFO as risk owner; CISO concurrence),2026-08-14,Done,2026-08-12,No
POAM-007,M2,Continue monthly compensating review (evidence each month to GRC),2027-03-31,In Progress,,No
POAM-007,M3,Split roles at AP backfill (requisition open),2027-03-31,Not Started,,No
POAM-008,M1,Change S3 lifecycle to 400-day expiry with Glacier IR after 90d (CHG-2026-0702),2026-08-21,Done,2026-08-19,No
POAM-008,M2,Subscribe app-audit CloudWatch logs to log-archive (Firehose),2026-08-28,Done,2026-08-27,No
POAM-008,M3,Assessor validation: config inspection + oldest-object query,2026-09-15,Done,2026-09-12,No
POAM-009,M1,Expand SIEM report scope to all privileged principals incl. IAM users,2026-08-21,Done,2026-08-14,No
POAM-009,M2,Auto-create weekly review ticket with escalation to CISO at 5 business days,2026-08-28,Done,2026-08-28,No
POAM-009,M3,Execute MDR SOW change for backup reviewer,2026-09-11,Delayed,,Yes
POAM-009,M4,Assessor validation: W27–W37 reviews (EVID-072),2026-09-15,Not Started,,Yes
POAM-010,M1,Submit VM-003 §7 exception for 2 notify-worker criticals with reachability analysis (CISO decision),2026-08-21,Done,2026-08-20,No
POAM-010,M2,Upgrade notify-worker to supported Node.js LTS + current base image,2026-09-30,In Progress,,No
POAM-010,M3,SLA-breach dashboard reviewed in weekly engineering leads meeting,2026-09-15,Done,2026-09-09,No
POAM-010,M4,Tag-policy SCP denying untagged EC2/EKS launches (OBS-02),2026-10-15,Not Started,,No
POAM-010,M5,Assessor validation: re-run SLA test on Q3 population,2026-11-05,Not Started,,No
POAM-011,M1,Stand up managed transfer service (IaC) and test with Quarrystone,2026-08-28,Done,2026-08-26,No
POAM-011,M2,Cut over Quarrystone + 4 customers; decommission wf-sftp-01,2026-09-15,Delayed,,Yes
POAM-011,M3,Migrate legacy-reports to Aurora read replica; decommission EC2 host,2026-10-30,In Progress,,No
POAM-011,M4,Assessor validation: inventory shows 0 unsupported components; hosts terminated,2026-12-15,Not Started,,No
POAM-012,M1,Remove 3389 ingress rule; confirm SSM-only admin (CHG-2026-0521); review Windows 4624 type-10 logons,2026-07-03,Done,2026-07-03,No
POAM-012,M2,Route Security Hub High findings to SRE on-call queue,2026-07-08,Done,2026-07-07,No
POAM-012,M3,Deploy SCP guardrail for admin ports from 0.0.0.0/0,2026-07-10,Done,2026-07-09,No
POAM-012,M4,"Assessor validation: SG export, Security Hub PASSED, guardrail test",2026-07-10,Done,2026-07-10,No
POAM-013,M1,Write restore runbook and integrity-check queries,2026-08-21,Done,2026-08-19,No
POAM-013,M2,Perform restore test (assessor observes),2026-08-28,Done,2026-08-27,No
POAM-013,M3,Add semi-annual restore test to BCP-003 calendar; assessor validation,2026-09-01,Done,2026-09-01,No
POAM-014,M1,Update IRP-005: SHCA 24h notification step + current roster (OBS-03),2026-09-15,Done,2026-09-11,No
POAM-014,M2,Conduct ransomware tabletop (IR + CP),2026-10-14,Not Started,,No
POAM-014,M3,Publish after-action report; add corrective actions to POA&M,2026-10-30,Not Started,,No
POAM-014,M4,Assessor validation,2026-11-15,Not Started,,No
POAM-015,M1,"Assess Tier 1 overdue vendors (Pulsewire, Ironpeak)",2026-11-30,In Progress,,No
POAM-015,M2,Fourth-party inventory from updated questionnaires (all Tier 1),2026-12-15,Not Started,,No
POAM-015,M3,Approve C-SCRM plan,2027-01-15,Not Started,,No
POAM-015,M4,Assess remaining Tier 2 overdue vendors; assessor validation,2027-02-03,Not Started,,No
POAM-016,M1,Interim: vendor suspends offshore access to Wrenfield data (letter),2026-07-24,Done,2026-07-24,No
POAM-016,M2,Execute contract amendment (redline v3 in negotiation),2026-09-30,In Progress,,No
POAM-016,M3,"Deploy minimized, tokenized extract (drop address, phone, email, free text)",2026-10-16,In Progress,,No
POAM-016,M4,Receive current pentest report + retest letter (EVID-051),2026-10-30,Not Started,,No
POAM-016,M5,Assessor validation + vendor risk re-score,2026-11-05,Not Started,,No
POAM-017,M1,SSP outline on SP 800-18r2 structure; boundary + data flows updated,2026-09-30,In Progress,,No
POAM-017,M2,Control implementation statements (61 controls) reviewed by owners,2026-11-30,Not Started,,No
POAM-017,M3,Approval by CTO (system owner); assessor validation,2026-12-15,Not Started,,No
POAM-018,M1,Retro-approval task automation for emergency changes,2026-08-28,Done,2026-08-28,No
POAM-018,M2,EventBridge alerts on console SG/IAM changes to on-call,2026-09-04,Not Started,,Yes
POAM-018,M3,Assessor validation: sample of emergency changes since M1 + alert test,2026-09-11,Not Started,,Yes
POAM-019,M1,Manager escalation at 14 days; enforcement group rule live,2026-08-21,Done,2026-08-20,No
POAM-019,M2,Reach >= 99% (documented leave exceptions),2026-09-15,Done,2026-09-12,No
