Risk ID,Risk Title,Risk Description,Asset / Process,Threat,Vulnerability,Existing Controls,Inherent Likelihood,Inherent Impact,Inherent Score,Inherent Risk,Current Likelihood,Current Impact,Current Score,Current Risk,Treatment Strategy,Planned Mitigation,Risk Owner,Target Date,Residual Likelihood,Residual Impact,Residual Score,Residual Risk,Status,Related NIST Controls,Related Findings,Related POA&M,Review Date,Rationale: Inherent,Rationale: Current,Rationale: Residual
RISK-001,Privileged cloud or identity admin account misused or compromised,"An attacker phishes or steals the session of a user holding production AdministratorAccess, Okta Super Admin, or GitHub owner, then exfiltrates PHI or destroys infrastructure.","AWS wcp-prod admin plane, Okta tenant, GitHub org","External actor (phishing, session-token theft) or malicious/negligent insider",Excess admin grants; admin performed from daily-use accounts; no JIT elevation,Okta SSO+MFA for most users; CloudTrail and GuardDuty; MDR 24x7; Vault Lock on backups,4,5,20,Critical,3,5,15,High,Mitigate,Remove excess grants; -adm accounts; JIT elevation; GitHub owner cap (POAM-003),Samir Haddad (CTO),2026-11-05,2,4,8,Moderate,Treatment in progress,AC-6; AC-6(2); AC-6(5); IA-2(1),FIND-003,POAM-003,2026-09-18,L4: identity-based intrusion is the dominant cloud attack path. I5: admin reaches all PHI (>50k records) and can cause an outage over 24h.,"L3: MFA and monitoring raise attacker effort, but 6 unjustified or daily-account admin assignments existed. I5 unchanged: any admin can still reach everything.","L2: -adm accounts with phishing-resistant MFA plus approval-gated JIT elevation. I4: time-boxed sessions and Vault Lock limit destructive impact and dwell time, but exfiltration during a session is still possible."
RISK-002,Unauthorized access by former employees or contractors,"A departed worker's still-active account is used, by them or by an attacker, to access PHI or financial systems.","All in-scope systems, including Ledgerline and the vendor portal","Former workforce member (disgruntled or careless), or an attacker using an orphaned account",Manual de-provisioning; local accounts outside SSO; contractor end dates not enforced,Okta deactivation by IT ticket; asset recovery at exit,4,4,16,High,4,4,16,High,Mitigate,"HR-to-Okta reconciliation with auto-ticketing; contractor expiry; local-account cleanup (POAM-001, POAM-006)",Alicia Moreno (CISO),2026-09-10,2,4,8,Moderate,Treated (residual achieved; monitoring),AC-2; AC-2(1); AC-2(3); PS-4; PS-7,FIND-001; FIND-006,POAM-001; POAM-006,2026-09-18,"L4: turnover of about 38/year plus contractors, and orphaned accounts are a well-known misuse path. I4: AWS admin or PHI DB access affects 500–50,000+ records; limited by role mix.","L4 unchanged: the control failed testing (2 of 19 not disabled, 1 post-termination sign-in, local admin account active 95 days) and earns no credit. I4.","L2: daily reconciliation job, contractor account expiry, and a local-account inventory, validated 7 of 7. I4 unchanged: a missed account could still reach sensitive data."
RISK-003,Account takeover through MFA gaps,"An attacker obtains the password of an MFA-exempt account and signs in directly, inheriting that user's access, including identity administration.",Okta and all federated systems,"Credential phishing, password spraying, reuse of breached credentials",MFA exemption group (9 humans incl. an Okta Super Admin); IAM user without MFA,Global MFA policy for 97% of users; replay-resistant authenticators; Okta ThreatInsight,4,5,20,Critical,3,5,15,High,Mitigate,Delete the exemption policy; enroll all users; phishing-resistant admin MFA; exception workflow (POAM-002),Alicia Moreno (CISO),2026-09-05,2,4,8,Moderate,Treated (residual achieved; monitoring),IA-2(1); IA-2(2); IA-2(8),FIND-002,POAM-002,2026-09-18,L4: phishing is the leading initial-access vector. I5: federation reaches AWS prod and PHI.,"L3: MFA covers 97%, a partial control. I5: an exempt Okta Super Admin could reach everything.",L2: no exemptions; phishing-resistant MFA for admins; token theft still possible. I4: least-privilege work narrows what one account reaches.
RISK-004,Access creep from ineffective recertification,"Users accumulate access beyond need over time, increasing the blast radius of any compromise or misuse.",Privileged and PHI entitlements across 9 systems,Insider misuse; attacker leveraging over-privileged accounts,Rubber-stamp reviews; privileged systems out of review scope; no re-baseline on transfer,Quarterly Okta app certification (limited scope),4,3,12,High,4,3,12,High,Mitigate,Redesign certifications; transfer-triggered review (POAM-004),Alicia Moreno (CISO),2026-10-31,2,3,6,Moderate,Treatment in progress,AC-6(7); AC-2; PS-5,FIND-004; FIND-006,POAM-004,2026-09-18,"L4: fast growth, transfers, and contractors make creep near-certain without review. I3: creep usually adds read access; worst credible case is fewer than 500 records.","L4: the review operated but was ineffective (100% approval, key systems excluded), so no credit. I3.",L2: full-scope campaigns with usage data and flagged items needing rationale. I3.
RISK-005,Inability to detect or investigate PHI access,"Misuse goes unnoticed, or a breach found months later cannot be scoped, forcing presumptive notification of large patient populations.","Audit logs (CloudTrail, application PHI-access audit, SIEM)",Undetected insider or attacker activity; late-discovered breach,90–180-day retention; inconsistent privileged-activity review,Comprehensive event logging (AU-2); immutable log archive (AU-9); MDR alerting (SI-4),3,4,12,High,3,4,12,High,Mitigate,"Extend retention (POAM-008, done); backup reviewer and escalation (POAM-009)",Alicia Moreno (CISO),2026-10-31,2,3,6,Moderate,Treatment in progress,AU-6; AU-11; AU-2; AU-9,FIND-008; FIND-009,POAM-008; POAM-009,2026-09-18,L3: breaches are often discovered after 90+ days. I4: inability to scope means broad notification plus contract breach.,"L3: logging is strong, but retention is short and 35% of weekly reviews were missed or incomplete. I4.",L2: 400-day retention plus a backup reviewer. I3: records now exist to scope and limit notification.
RISK-006,Exploitation of unremediated vulnerabilities,"An attacker exploits a known, unpatched flaw in a production service or host to gain a foothold.",Internet-facing services and container workloads,Opportunistic exploitation of known CVEs; ransomware affiliates,23% SLA misses; end-of-life runtimes; exception process unused,WAF; weekly authenticated scanning; container image scanning; EDR; MDR,4,5,20,Critical,3,4,12,High,Mitigate,Upgrade EOL runtimes; exception process; SLA reporting; tag enforcement (POAM-010),Grace Lindqvist (VP Engineering),2026-11-05,2,4,8,Moderate,Treatment in progress,RA-5; SI-2; CM-8,FIND-010,POAM-010,2026-09-18,L4: exploitation of known vulnerabilities is a top initial-access vector. I5: PHI platform compromise.,"L3: scanning, WAF, and EDR are effective layers, but 6 items are open past SLA. I4: segmentation (private subnets) limits the blast radius from most workloads.",L2: SLA adherence with governed exceptions. I4: same architecture.
RISK-007,Compromise of unsupported legacy components in the PHI path,"An attacker exploits an unpatchable flaw on the legacy SFTP host, which holds the nightly full-PHI extract, and pivots or exfiltrates.","wf-sftp-01 (Windows 2012 R2), legacy-reports (PostgreSQL 11), notify-worker (Node 16)",Exploitation of unpatchable flaws; ransomware,No vendor patches; host previously exposed via internet-facing RDP,EDR; SFTP source allowlist; weekly scanning; SSM-only admin (after FIND-012 fix),4,4,16,High,3,4,12,High,Avoid,Decommission wf-sftp-01 and legacy-reports; upgrade notify-worker (POAM-011),Samir Haddad (CTO),2026-12-15,1,4,4,Low,Treatment in progress (delayed),SA-22; SC-7; CM-6; SI-2,FIND-011; FIND-012,POAM-011; POAM-012,2026-09-18,"L4: unsupported, internet-reachable Windows host. I4: a full-PHI extract sits there transiently (worst credible case is one night's file, bounded).","L3: RDP closed, allowlist and EDR in place, but no patches. I4.","L1: components decommissioned (Avoid). I4 kept, because the managed-transfer replacement still moves the same data."
RISK-008,Failed or slow recovery from ransomware or data corruption,"A destructive event forces recovery, and recovery takes longer than RTO or loses data because the process was never exercised.",wcp-core-db and WCP services,Ransomware; destructive insider; data corruption,Restore never tested (at fieldwork); contingency plan untested,"PITR (35 days); cross-region, cross-account backups with Vault Lock; BC/DR plan",3,5,15,High,2,5,10,High,Mitigate,"Semi-annual restore tests (POAM-013, done); CP exercise (POAM-014)",Samir Haddad (CTO),2026-11-15,2,4,8,Moderate,Treatment in progress,CP-2; CP-4; CP-9; CP-9(1),FIND-013; FIND-014,POAM-013; POAM-014,2026-09-18,L3: healthcare ransomware frequency. I5: outage over 24h for clinical workflows.,"L2: strong, immutable backups reduce the chance of an unrecoverable event. I5: recovery time was unproven.",L2. I4: restore proven at 3h41m (within the 4h RTO); a full contingency exercise is pending (POAM-014).
RISK-009,Delayed or ineffective response to a major incident,"During a major incident, unclear roles or notification steps delay containment or cause a missed contractual or regulatory notification deadline.",Incident response capability and notification obligations,"Major incident (ransomware, large PHI breach) stressing untested processes",No IR exercise in 21 months; SHCA 24h path never rehearsed,IRP-005 (current); 24x7 MDR; incidents in H1 handled well (IR-4 satisfied),3,4,12,High,3,4,12,High,Mitigate,Ransomware tabletop and plan update (POAM-014),Alicia Moreno (CISO),2026-11-15,2,3,6,Moderate,Treatment in progress,IR-3; IR-4; IR-6; IR-8,FIND-014,POAM-014,2026-09-18,L3: at least one significant incident per year is plausible. I4: missed notification means a contract breach and regulatory scrutiny.,"L3: good day-to-day handling, but major-incident paths are untested. I4.","L2: rehearsed plan with the SHCA step. I3: faster, coordinated response limits impact."
RISK-010,PHI exposure through the analytics vendor (Quarrystone),"A breach at Quarrystone or its offshore subcontractor exposes Wrenfield PHI, and notice arrives too late for Wrenfield to meet 24h or 5-day obligations.",Nightly full-PHI extract (about 410k patients) processed by Quarrystone and its subcontractors,Vendor or subcontractor breach; unauthorized offshore access; delayed breach notice,Offshore subcontractor access; 30-day notice term; excess data fields; stale pentest,BAA; SOC 2 Type II (unqualified); encryption in transit and at rest; interim suspension of offshore access (2026-07-24),4,5,20,Critical,3,5,15,High,Mitigate,Contract amendment; data minimization; pentest and retest; monitoring plan (POAM-016). Transfer (partial) through cyber insurance and vendor indemnity.,Dr. Miriam Castell (VP Clinical Analytics),2026-11-05,2,4,8,Moderate,Treatment in progress,SA-9; SR-6; CA-3,FIND-016; FIND-015,POAM-016; POAM-015,2026-09-18,"L4: third-party breaches are frequent in healthcare, and an undisclosed offshore party was present. I5: >50k records plus SHCA contract loss.","L3: vendor controls are generally mature (SOC 2, encryption) and offshore access is suspended, but the contract terms are unchanged. I5.","L2: contractual US-only with technical enforcement, 24h notice, and current pentest. I4: minimized extract (no contact details or free text) reduces the records and sensitivity exposed."
