vuln_id,asset,asset_type,internet_facing,severity,title,first_detected,remediated,status,sla_days,exploitable_path_claimed,exception_ref
VULN-26022,rpm-ingest,container,N,High,Outdated OpenSSL in base image,2026-01-01,2026-01-15,Remediated,30,,
VULN-26057,rpm-ingest,container,N,High,Prototype pollution in npm package,2026-01-01,2026-03-16,Remediated,30,,
VULN-26035,eks-node-ami-2026.05,eks-node,N,High,Kernel privilege-escalation patch missing,2026-01-03,2026-01-16,Remediated,30,,
VULN-26019,fhir-gateway,container,Y,High,XML external entity in parser library,2026-01-04,2026-01-17,Remediated,30,,
VULN-26033,auth-proxy,container,Y,High,Path traversal in static-file middleware,2026-01-04,2026-01-20,Remediated,30,,
VULN-26048,eks-node-ami-2026.05,eks-node,N,High,glibc buffer overflow patch missing,2026-01-04,2026-01-18,Remediated,30,,
VULN-26053,wcp-api,container,Y,High,XML external entity in parser library,2026-01-13,2026-03-03,Remediated,30,,
VULN-26054,integration-engine,container,N,High,Outdated OpenSSL in base image,2026-01-13,2026-03-12,Remediated,30,,
VULN-26006,eks-node-ami-2026.05,eks-node,N,Critical,Kernel privilege-escalation patch missing,2026-01-15,2026-01-20,Remediated,15,,
VULN-26032,care-plan-svc,container,N,High,Outdated OpenSSL in base image,2026-01-26,2026-02-25,Remediated,30,,
VULN-26018,care-plan-svc,container,N,High,Path traversal in static-file middleware,2026-02-01,2026-02-08,Remediated,30,,
VULN-26025,integration-engine,container,N,High,Outdated OpenSSL in base image,2026-02-06,2026-02-22,Remediated,30,,
VULN-26047,eks-node-ami-2026.01,eks-node,N,High,Kernel privilege-escalation patch missing,2026-02-08,2026-02-16,Remediated,30,,
VULN-26049,integration-engine,container,N,High,XML external entity in parser library,2026-02-08,2026-03-06,Remediated,30,,
VULN-26055,auth-proxy,container,Y,High,XML external entity in parser library,2026-02-09,2026-03-24,Remediated,30,,
VULN-26052,rpm-ingest,container,N,High,Prototype pollution in npm package,2026-02-11,2026-03-30,Remediated,30,,
VULN-26017,fhir-gateway,container,Y,High,Outdated OpenSSL in base image,2026-02-18,2026-03-16,Remediated,30,,
VULN-26004,fhir-gateway,container,Y,Critical,XML external entity in parser library,2026-02-21,2026-03-04,Remediated,15,,
VULN-26056,eks-node-ami-2026.01,eks-node,N,High,Kernel privilege-escalation patch missing,2026-02-23,2026-04-06,Remediated,30,,
VULN-26016,integration-engine,container,N,High,Vulnerable JSON parser dependency,2026-02-24,2026-03-14,Remediated,30,,
VULN-26010,integration-engine,container,N,High,Path traversal in static-file middleware,2026-02-25,2026-03-15,Remediated,30,,
VULN-26012,care-plan-svc,container,N,High,HTTP/2 rapid-reset DoS in web framework,2026-02-26,2026-03-23,Remediated,30,,
VULN-26015,wcp-api,container,Y,High,Prototype pollution in npm package,2026-02-26,2026-03-03,Remediated,30,,
VULN-26050,integration-engine,container,N,High,HTTP/2 rapid-reset DoS in web framework,2026-02-27,2026-05-04,Remediated,30,,
VULN-26028,fhir-gateway,container,Y,High,Prototype pollution in npm package,2026-02-28,2026-03-08,Remediated,30,,
VULN-26021,rpm-ingest,container,N,High,HTTP/2 rapid-reset DoS in web framework,2026-03-06,2026-03-12,Remediated,30,,
VULN-26013,eks-node-ami-2026.01,eks-node,N,High,Container runtime escape patch missing,2026-03-08,2026-03-18,Remediated,30,,
VULN-26024,care-plan-svc,container,N,High,XML external entity in parser library,2026-03-10,2026-03-26,Remediated,30,,
VULN-26020,integration-engine,container,N,High,Vulnerable JSON parser dependency,2026-03-12,2026-04-03,Remediated,30,,
VULN-26036,integration-engine,container,N,High,Outdated OpenSSL in base image,2026-03-16,2026-03-26,Remediated,30,,
VULN-26001,rpm-ingest,container,N,Critical,HTTP/2 rapid-reset DoS in web framework,2026-03-19,2026-03-21,Remediated,15,,
VULN-26011,care-plan-svc,container,N,High,Prototype pollution in npm package,2026-03-22,2026-04-02,Remediated,30,,
VULN-26034,eks-node-ami-2026.05,eks-node,N,High,Container runtime escape patch missing,2026-03-26,2026-04-16,Remediated,30,,
VULN-26003,care-plan-svc,container,N,Critical,Outdated OpenSSL in base image,2026-03-30,2026-04-04,Remediated,15,,
VULN-26002,care-plan-svc,container,N,Critical,Outdated OpenSSL in base image,2026-03-31,2026-04-07,Remediated,15,,
VULN-26026,eks-node-ami-2026.01,eks-node,N,High,glibc buffer overflow patch missing,2026-04-02,2026-04-05,Remediated,30,,
VULN-26051,wcp-api,container,Y,High,Prototype pollution in npm package,2026-04-04,2026-05-17,Remediated,30,,
VULN-26027,care-plan-svc,container,N,High,Outdated OpenSSL in base image,2026-04-10,2026-04-24,Remediated,30,,
VULN-26046,fhir-gateway,container,Y,High,Vulnerable JSON parser dependency,2026-04-13,2026-04-27,Remediated,30,,
VULN-26059,wf-sftp-01,ec2-windows,Y,High,SMB signing not required / legacy protocol enabled,2026-04-13,,Open,30,Y,
VULN-26039,integration-engine,container,N,High,Prototype pollution in npm package,2026-04-24,2026-04-26,Remediated,30,,
VULN-26040,fhir-gateway,container,Y,High,Vulnerable JSON parser dependency,2026-04-24,2026-05-23,Remediated,30,,
VULN-26045,integration-engine,container,N,High,Prototype pollution in npm package,2026-04-25,2026-05-02,Remediated,30,,
VULN-26031,rpm-ingest,container,N,High,Path traversal in static-file middleware,2026-04-26,2026-05-04,Remediated,30,,
VULN-26061,legacy-reports,ec2-linux,N,High,PostgreSQL 11 out of community support - unpatched privilege escalation,2026-04-28,,Open,30,Y,
VULN-26029,care-plan-svc,container,N,High,Outdated OpenSSL in base image,2026-04-30,2026-05-10,Remediated,30,,
VULN-26008,notify-worker,container,Y,Critical,OpenSSL 1.1.1 (end-of-life) in node:16 base image - multiple critical CVEs,2026-05-01,,Open,15,N (engineering: no network-reachable path),
VULN-26037,care-plan-svc,container,N,High,Outdated OpenSSL in base image,2026-05-06,2026-05-16,Remediated,30,,
VULN-26060,wf-sftp-01,ec2-windows,Y,High,Third-party SFTP server version with known auth bypass (vendor patch requires OS upgrade),2026-05-06,,Open,30,Y,
VULN-26023,auth-proxy,container,Y,High,Prototype pollution in npm package,2026-05-07,2026-05-25,Remediated,30,,
VULN-26005,fhir-gateway,container,Y,Critical,Path traversal in static-file middleware,2026-05-11,2026-05-24,Remediated,15,,
VULN-26014,auth-proxy,container,Y,High,Prototype pollution in npm package,2026-05-12,2026-05-14,Remediated,30,,
VULN-26058,wf-sftp-01,ec2-windows,Y,High,Windows Server 2012 R2 cumulative security update unavailable (OS out of support),2026-05-14,,Open,30,Y,
VULN-26041,fhir-gateway,container,Y,High,HTTP/2 rapid-reset DoS in web framework,2026-05-17,2026-06-06,Remediated,30,,
VULN-26044,integration-engine,container,N,High,Prototype pollution in npm package,2026-05-17,2026-05-30,Remediated,30,,
VULN-26009,notify-worker,container,Y,Critical,Node.js 16 runtime end-of-life - unpatched HTTP parser flaw,2026-05-18,,Open,15,N (engineering: no network-reachable path),
VULN-26042,eks-node-ami-2026.01,eks-node,N,High,Kernel privilege-escalation patch missing,2026-05-18,2026-05-29,Remediated,30,,
VULN-26043,fhir-gateway,container,Y,High,Path traversal in static-file middleware,2026-05-22,2026-05-25,Remediated,30,,
VULN-26038,eks-node-ami-2026.01,eks-node,N,High,Container runtime escape patch missing,2026-05-30,2026-06-15,Remediated,30,,
VULN-26007,eks-node-ami-2026.03,eks-node,N,Critical,glibc buffer overflow patch missing,2026-06-07,2026-06-22,Remediated,15,,
VULN-26030,rpm-ingest,container,N,High,XML external entity in parser library,2026-06-16,2026-06-23,Remediated,30,,
